repo,commit_hash,parent_hash,author,date,message,files_changed,modified_files
annotated_deep_learning_paper_implementations,10ee239a14fa13347df43eb1933cebc053954f30,4d587576715102dba49e2f42e70bc45079b25bf9,Varuna Jayasiri,2020-12-10T10:51:19+05:30,unoptimized adam,1,labml_nn\optimizers\adam.py
annotated_deep_learning_paper_implementations,ef922321be96c240b5088c8184ce84c99bd191e0,5b1897b792c8fd8a6defe2c3c9b0239f7524c75f,Varuna Jayasiri,2020-12-14T09:33:07+05:30,optimizers,1,labml_nn\optimizers\__init__.py
annotated_deep_learning_paper_implementations,91d917ae00b068509152a5510c8217697490a4c6,3be33040c2254e9329c75a10b15a5bda9d6527ba,Varuna Jayasiri,2020-12-14T10:23:58+05:30,optimizers path fix,1,labml_nn\optimizers\__init__.py
annotated_deep_learning_paper_implementations,6b4e00323d6d0389a3cd666928dcc7429c869b46,03197f43472149ff0183a7b0a25c7e176be00fd2,Varuna Jayasiri,2021-02-01T15:04:35+05:30,📚 batch norm mistakes,1,labml_nn\normalization\batch_norm\__init__.py
annotated_deep_learning_paper_implementations,cee8a37a4ac2ebd796a92977314ef8d3403f28fb,5eb0120f3bab79eff3423b1a1385fe337fff39f5,Varuna Jayasiri,2021-02-02T09:33:20+05:30,batch_norm nn.Module,1,labml_nn\normalization\batch_norm\__init__.py
annotated_deep_learning_paper_implementations,5c429e7a48b9e8c0dd59964721621ef5b1b089e2,878b4859a8cce8028a2a96cb1043327e7a0790ab,Varuna Jayasiri,2021-03-15T18:50:02+05:30,free memory feedback transformer,1,labml_nn\transformers\feedback\__init__.py
annotated_deep_learning_paper_implementations,af6b99a5f03abdb46cc71e53daa5a8cc9bb747ae,f00d1d61f78b89b933cc7c3b6b30940ed1c6a08f,Varuna Jayasiri,2021-07-04T13:32:56+05:30,batch channel norm mathjax fix,1,labml_nn\normalization\batch_channel_norm\__init__.py
annotated_deep_learning_paper_implementations,b43fb807a83afd658a3a2e32f153d5431f036762,594f89c8ccb483ffe8b64c5c092ce813a0aeb1fc,Varuna Jayasiri,2023-07-15T08:30:41+05:30,sophia speed up,1,labml_nn\optimizers\sophia.py
annotated_deep_learning_paper_implementations,23b7e2ee8e077496adf8e76b8435aff67e8d409d,c82529ce6771e3d375c44acd35777992da01a555,lakshith,2024-07-29T19:40:39+05:30,create experiment notebook and refactoring,1,labml_nn\transformers\LoRA\GPT2.py
ComfyUI,c92633eaa2fb6d33b7298b06b9a3597f21c334e7,534736b924195e36cf3a4e3a578ad74c94bb6877,comfyanonymous,2023-02-08T11:42:37-05:00,Auto calculate amount of memory to use for --lowvram,1,comfy\model_management.py
ComfyUI,3fd87cbd21d4834d0cdd8195edc0743dde9e6362,bbdcf0b7373f7f638feb182f6e592e89c88896bb,comfyanonymous,2023-02-08T17:09:47-05:00,"Slightly smarter batching behaviour.

Try to keep batch sizes more consistent which seems to improve things on
AMD GPUs.",1,comfy\samplers.py
ComfyUI,df40d4f3bfc1e3856e68dafd5708d15b4deb64a0,1d9ec62cfb74d19ea21468660d45b7a1bb66fea0,comfyanonymous,2023-02-09T12:33:27-05:00,torch.cuda.OutOfMemoryError is not present on older pytorch versions.,1,comfy\ldm\modules\sub_quadratic_attention.py
ComfyUI,3a83da7281b5293e4486bd149d96118ef8e74da0,00a9189e303c4e7471da2d799f69853fcf790546,masterpiecebestquality,2023-02-20T13:56:34-05:00,empty cache after execute(),1,main.py
ComfyUI,cd85f876f2143e3f1b144e11a631fb0abab695bb,f3103d7b60e7d25bd50a3b68a6ace1ccf9977872,comfyanonymous,2023-02-28T11:56:33-05:00,Try to clear more memory at the end of each prompt execution.,1,execution.py
ComfyUI,b31daadc034cbaa8838d78016e9ec4a9af3a1d5c,cd85f876f2143e3f1b144e11a631fb0abab695bb,comfyanonymous,2023-02-28T12:27:43-05:00,Try to improve memory issues with del.,1,comfy\sd.py
ComfyUI,5f0f97634f780516147ca26ddb826b1df6bb0ef6,b31daadc034cbaa8838d78016e9ec4a9af3a1d5c,comfyanonymous,2023-02-28T13:39:30-05:00,Only clear cuda cache on CUDA since it causes slowdowns on ROCm.,1,execution.py
ComfyUI,cc8baf1080c26fb0993674ffaa9cb4ed97862f4e,798c90e1c094d86bff6c1eca51c0ed4dedea1871,comfyanonymous,2023-03-05T14:20:07-05:00,Make VAE use common function to get free memory.,1,comfy\ldm\modules\diffusionmodules\model.py
ComfyUI,8c4ccb55d16c7528ab143ef50c640dd86891e18f,1f717903bc12088ff5a90036a4ece3f8dc2a0962,comfyanonymous,2023-03-11T12:49:41-05:00,Small refactor of custom node loading code.,1,nodes.py
ComfyUI,1de86851b12f6b4e2f9d64da277e3679d3d5e7a1,2b1fce29438982f404c528d62498c3ac6f3c5c14,comfyanonymous,2023-03-11T15:15:13-05:00,Try to fix memory issue.,1,comfy\ldm\modules\diffusionmodules\model.py
